iter	Passed	Remaining
0	176	176013
1	177	88783
2	179	59673
3	181	45104
4	182	36305
5	185	30711
6	186	26469
7	187	23273
8	188	20782
9	189	18792
10	190	17135
11	191	15755
12	192	14585
13	192	13584
14	193	12716
15	194	11955
16	194	11272
17	195	10664
18	196	10120
19	196	9630
20	197	9188
21	197	8785
22	198	8421
23	199	8099
24	199	7792
25	200	7508
26	200	7239
27	201	6990
28	201	6758
29	202	6538
30	202	6335
31	203	6145
32	203	5968
33	204	5800
34	204	5642
35	205	5492
36	205	5350
37	206	5216
38	206	5089
39	207	4968
40	207	4853
41	207	4743
42	208	4639
43	208	4539
44	209	4443
45	209	4352
46	210	4265
47	210	4181
48	211	4100
49	211	4023
50	212	3949
51	212	3877
52	213	3810
53	214	3750
54	214	3689
55	215	3631
56	215	3572
57	216	3514
58	216	3459
59	217	3405
60	217	3353
61	218	3303
62	218	3254
63	219	3207
64	219	3161
65	220	3116
66	220	3073
67	221	3031
68	221	2990
69	222	2950
70	222	2912
71	222	2872
72	223	2836
73	223	2800
74	224	2766
75	224	2732
76	225	2699
77	225	2667
78	226	2636
79	226	2606
80	227	2576
81	227	2547
82	228	2520
83	228	2494
84	229	2470
85	230	2446
86	230	2421
87	231	2396
88	231	2372
89	232	2348
90	232	2324
91	233	2301
92	233	2279
93	234	2256
94	234	2235
95	235	2213
96	235	2192
97	236	2172
98	236	2152
99	236	2132
100	237	2113
101	237	2094
102	238	2075
103	238	2057
104	239	2039
105	239	2021
106	240	2004
107	240	1987
108	241	1971
109	241	1954
110	242	1938
111	242	1922
112	243	1908
113	244	1902
114	245	1889
115	246	1875
116	246	1860
117	247	1846
118	247	1832
119	247	1818
120	248	1804
121	248	1791
122	249	1777
123	249	1764
124	250	1752
125	250	1738
126	250	1725
127	251	1712
128	251	1699
129	252	1687
130	252	1676
131	252	1663
132	253	1652
133	253	1640
134	254	1629
135	254	1618
136	255	1608
137	255	1597
138	256	1587
139	256	1576
140	257	1566
141	257	1556
142	258	1550
143	260	1549
144	261	1540
145	261	1532
146	262	1523
147	262	1512
148	263	1504
149	264	1496
150	264	1488
151	265	1480
152	266	1473
153	266	1464
154	267	1456
155	267	1447
156	268	1439
157	268	1431
158	269	1422
159	269	1414
160	269	1406
161	270	1398
162	270	1390
163	271	1382
164	271	1374
165	272	1367
166	272	1359
167	273	1352
168	275	1353
169	276	1347
170	276	1341
171	277	1334
172	277	1327
173	278	1320
174	278	1313
175	279	1306
176	279	1299
177	280	1293
178	280	1286
179	280	1280
180	281	1273
181	281	1266
182	282	1260
183	282	1254
184	283	1248
185	283	1241
186	284	1235
187	284	1229
188	285	1223
189	285	1217
190	286	1211
191	286	1204
192	286	1199
193	287	1193
194	287	1187
195	288	1182
196	289	1178
197	289	1173
198	290	1168
199	290	1162
200	291	1157
201	291	1152
202	292	1146
203	292	1141
204	292	1136
205	293	1131
206	293	1125
207	294	1120
208	294	1115
209	295	1111
210	295	1106
211	296	1101
212	296	1096
213	297	1091
214	297	1086
215	298	1082
216	298	1077
217	299	1072
218	299	1068
219	299	1063
220	300	1058
221	300	1054
222	301	1050
223	301	1045
224	302	1041
225	302	1036
226	303	1032
227	304	1030
228	304	1026
229	305	1022
230	305	1018
231	306	1014
232	306	1010
233	307	1006
234	307	1002
235	308	998
236	308	994
237	309	990
238	309	986
239	310	982
240	310	978
241	311	974
242	311	970
243	312	966
244	312	963
245	312	959
246	313	955
247	313	951
248	314	948
249	314	944
250	315	941
251	315	937
252	316	933
253	316	930
254	317	926
255	318	924
256	319	924
257	321	924
258	322	922
259	323	919
260	324	917
261	324	915
262	325	912
263	326	909
264	327	907
265	327	904
266	328	901
267	328	898
268	329	895
269	330	892
270	330	889
271	331	888
272	332	885
273	334	885
274	335	884
275	335	881
276	336	878
277	337	875
278	337	873
279	338	870
280	339	867
281	339	865
282	340	862
283	341	859
284	341	857
285	342	854
286	343	852
287	343	849
288	344	847
289	344	844
290	345	842
291	346	839
292	346	836
293	347	834
294	348	833
295	349	831
296	350	829
297	350	826
298	351	823
299	351	820
300	352	817
301	352	815
302	353	812
303	353	809
304	354	806
305	354	803
306	354	801
307	355	798
308	355	795
309	356	793
310	356	790
311	357	787
312	357	785
313	358	782
314	358	780
315	359	777
316	359	774
317	360	772
318	360	769
319	361	767
320	361	764
321	362	762
322	362	759
323	362	757
324	363	755
325	364	753
326	364	750
327	365	748
328	365	746
329	366	743
330	366	741
331	367	739
332	367	736
333	368	734
334	368	731
335	369	729
336	369	727
337	370	724
338	370	722
339	371	720
340	371	717
341	371	715
342	372	713
343	372	711
344	373	708
345	374	707
346	374	704
347	375	702
348	375	700
